verdict,line,operator,type,from,to,ref,excessKm,tripsDay,wasteDayKm,ratio,lat,lng,reason
"לא ניתן להשוואה","82","אגד","detour","העצמאות/רחבת הסוכנות","בית הספר עמיאסף","83","0.467","1","0.5","2.19","31.06805","35.02963","לא ניתן להשוואה — קו 83 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","82א","אגד","detour","העצמאות/רחבת הסוכנות","בית הספר עמיאסף","83","0.467","1","0.5","2.19","31.06805","35.02963","לא ניתן להשוואה — קו 83 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","570","מטרופולין","detour","החרמון/המעגל","ששת הימים/קיבוץ גלויות","65","0.462","1","0.5","1.83","32.15748","34.92179","לא ניתן להשוואה — כיווניות מנוגדת: קו 65 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 123° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
"אמיתי","4א","אלקטרה אפיקים","detour","הדוגית/הצדף","חטיבת גבעתי/גיבורי החיל","182","0.45","8","3.6","1.76","31.86745","34.73592","הקו סוטה הצידה עד 361 מ' מהקו הישר (מול ~180 מ' בקו 182) — בליטה ייחודית, עיקוף אמיתי."
"אמיתי","7","אגד","detour","פורטק","נשר מרכז קניות","110","0.44","11","4.8","2.03","32.78176","35.03371","המסלול מתקדם ואז חוזר 217 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""פורטק"" ל-""נשר מרכז קניות"", בעוד קו 110 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"אמיתי","332","נסיעות ותיירות","detour","פורטק","נשר מרכז קניות","110","0.44","25","11","2.03","32.78176","35.03371","המסלול מתקדם ואז חוזר 217 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""פורטק"" ל-""נשר מרכז קניות"", בעוד קו 110 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"אמיתי","332","נסיעות ותיירות","detour","פורטק","נשר מרכז קניות","110","0.44","4","1.8","2.03","32.78176","35.03371","המסלול מתקדם ואז חוזר 217 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""פורטק"" ל-""נשר מרכז קניות"", בעוד קו 110 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"אמיתי","332","נסיעות ותיירות","detour","פורטק","נשר מרכז קניות","110","0.44","4","1.8","2.03","32.78176","35.03371","המסלול מתקדם ואז חוזר 217 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""פורטק"" ל-""נשר מרכז קניות"", בעוד קו 110 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"לא ניתן להשוואה","348","סופרבוס","detour","שדרות הבנים/שד' שאול עמור","מסוף מגדל העמק","15","0.413","2","0.8","2.38","32.67824","35.24111","לא ניתן להשוואה — קו 15 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","348","סופרבוס","detour","שדרות הבנים/שד' שאול עמור","מסוף מגדל העמק","15","0.413","20","8.3","2.38","32.67824","35.24111","לא ניתן להשוואה — קו 15 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
